,ExpressId,GlobalId,Class,PredefinedType,Name,Level,Type,Pset_ReinforcementBarPitchOfWall.Reference,Pset_StairFlightCommon.NumberOfTreads,Pset_StairCommon.Reference,Pset_StairCommon.NumberOfRiser,Pset_ColumnCommon.LoadBearing,Pset_ReinforcementBarCountOfIndependentFooting.Reference,Pset_BeamCommon.Reference,Pset_RoofCommon.IsExternal,Pset_WallCommon.Reference,Pset_ReinforcementBarPitchOfContinuousFooting.Reference,Pset_StairCommon.NumberOfTreads,Pset_RoofCommon.Reference,BaseQuantities.GrossFootprintArea,Pset_StairFlightCommon.TreadLengthAtOffset,BaseQuantities.CrossSectionArea,Pset_SlabCommon.IsExternal,Pset_StairFlightCommon.TreadLength,Pset_StairCommon.RiserHeight,Pset_RoofCommon.TotalArea,Pset_WallCommon.LoadBearing,BaseQuantities.NetSurfaceArea,BaseQuantities.GrossArea,BaseQuantities.Width,Pset_SlabCommon.ThermalTransmittance,Pset_StairFlightCommon.WalkingLineOffset,Pset_StairFlightCommon.NumberOfRiser,Pset_BeamCommon.Span,Pset_RoofCommon.ProjectedArea,Pset_SlabCommon.Reference,Pset_BeamCommon.LoadBearing,Pset_BeamCommon.Slope,Pset_StairFlightCommon.RiserHeight,BaseQuantities.Length,Pset_ColumnCommon.Slope,BaseQuantities.Perimeter,Pset_StairFlightCommon.Reference,Pset_StairFlightCommon.NosingLength,Pset_WallCommon.IsExternal,Pset_ColumnCommon.Reference,BaseQuantities.NetSideArea,Pset_WallCommon.ExtendToStructure,Pset_BeamCommon.IsExternal,Pset_StairFlightCommon.TreadLengthAtInnerSide,Pset_StairCommon.TreadLength,BaseQuantities.Height,Pset_ReinforcementBarPitchOfColumn.Reference,BaseQuantities.GrossSurfaceArea,BaseQuantities.GrossSideArea,Pset_ReinforcementBarPitchOfBeam.Reference,Pset_StairCommon.IsExternal,Pset_QuantityTakeOff.Reference,BaseQuantities.NetArea,Pset_SlabCommon.PitchAngle,BaseQuantities.NetVolume,Pset_ReinforcementBarPitchOfSlab.Reference,Pset_WallCommon.ThermalTransmittance,BaseQuantities.OuterSurfaceArea,Pset_SlabCommon.LoadBearing,BaseQuantities.GrossVolume,Pset_ColumnCommon.IsExternal
166,10203,19tnydtp524vPG6$8VmXD7,IfcSlab,FLOOR,Suelo:Relleno /Emplantillado H.P 2600 mm:478621,REF FUND.,Suelo:Relleno /Emplantillado H.P 2600 mm,,,,,,,,,,,,,,,,False,,,,,,2.375,2.6,0.402307692307692,,,,,Relleno /Emplantillado H.P 2600 mm,,,,,,6.90000000000001,,,,,,,,,,,,,,,,Relleno /Emplantillado H.P 2600 mm,2.375,0.0,6.17500000000001,Relleno /Emplantillado H.P 2600 mm,,,True,6.17500000000001,
167,10271,19tnydtp524vPG6$8VmXCy,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P  1800 mm:478694,REF FUND.,Suelo:Relleno / Emplantillado H.P  1800 mm,,,,,,,,,,,,,,,,False,,,,,,8.50000788536368,1.8,0.581111111111111,,,,,Relleno / Emplantillado H.P  1800 mm,,,,,,12.0999752359072,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P  1800 mm,8.50000788536368,0.0,15.3000141936546,Relleno / Emplantillado H.P  1800 mm,,,True,15.3000141936546,
168,10328,19tnydtp524vPG6$8VmWwF,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P 1000 mm:479317,REF FUND.,Suelo:Relleno / Emplantillado H.P 1000 mm,,,,,,,,,,,,,,,,False,,,,,,3.90500000000001,0.999999999999999,1.046,,,,,Relleno / Emplantillado H.P 1000 mm,,,,,,7.95000000000001,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P 1000 mm,3.90500000000001,0.0,3.90500000000001,Relleno / Emplantillado H.P 1000 mm,,,True,3.90500000000001,
169,10385,19tnydtp524vPG6$8VmWvD,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P 200 mm:479383,REF FUND.,Suelo:Relleno / Emplantillado H.P 200 mm,,,,,,,,,,,,,,,,False,,,,,,4.23507709769683,0.2,5.23,,,,,Relleno / Emplantillado H.P 200 mm,,,,,,8.2500700888153,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P 200 mm,4.23507709769683,0.0,0.847015419539366,Relleno / Emplantillado H.P 200 mm,,,True,0.847015419539366,
170,10448,1CFg8SLS9AM8BJlOPtZm_y,IfcWallStandardCase,STANDARD,Muro básico:M.H.A 300 mm:479762,REF FUND.,Muro básico:M.H.A 300 mm,M.H.A 300 mm,,,,,,,,M.H.A 300 mm,,,,0.532500000000002,,,,,,,True,,,0.3,,,,,,,,,,1.775,,,,,False,,7.80999999999999,False,,,,4.39999999999999,,,7.80999999999999,,,M.H.A 300 mm,,,2.34300000000001,,3.48666666666667,,,2.343,
171,10498,1CFg8SLS9AM8BJlOPtZm_w,IfcFooting,STRIP_FOOTING,Cimentación de muro:1200 x 1300 mm:479764,Nivel -2,,,,,,,1200 x 1300 mm,,,,1200 x 1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 x 1300 mm,,,,,,,,,
172,10543,1CFg8SLS9AM8BJlOPtZmyT,IfcWallStandardCase,STANDARD,Muro básico:M.H.A 300 mm:479923,REF FUND.,Muro básico:M.H.A 300 mm,M.H.A 300 mm,,,,,,,,M.H.A 300 mm,,,,0.150000000000002,,,,,,,True,,,0.3,,,,,,,,,,0.500000000000005,,,,,False,,2.20000000000002,False,,,,4.39999999999999,,,2.20000000000002,,,M.H.A 300 mm,,,0.660000000000008,,3.48666666666667,,,0.660000000000005,
173,10663,1CFg8SLS9AM8BJlOPtZmyR,IfcFooting,STRIP_FOOTING,Cimentación de muro:1400 x 3600 mm:479925,REF FUND.,,,,,,,1400 x 3600 mm,,,,1400 x 3600 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400 x 3600 mm,,,,,,,,,
174,10703,1CFg8SLS9AM8BJlOPtZmw7,IfcSlab,BASESLAB,M_Zapata-Rectangular:1100 x 600  x 1000 mm:480041,REF FUND.,M_Zapata-Rectangular:1100 x 600  x 1000 mm,,,,,,,,,,,,,,,,False,,,,,,0.660000000000001,1.0,,,,,,1100 x 600  x 1000 mm,,,,,,3.4,,,,,,,,,,,,,,,,1100 x 600  x 1000 mm,0.66,,0.659999999999999,1100 x 600  x 1000 mm,,,,0.660000000000001,
175,10758,1CFg8SLS9AM8BJlOPtZmYO,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P  1800 mm:480566,REF FUND.,Suelo:Relleno / Emplantillado H.P  1800 mm,,,,,,,,,,,,,,,,False,,,,,,1.95253854884842,1.8,0.581111111111111,,,,,Relleno / Emplantillado H.P  1800 mm,,,,,,5.75007008881531,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P  1800 mm,1.95253854884842,0.0,3.51456938792715,Relleno / Emplantillado H.P  1800 mm,,,True,3.51456938792715,
